Name,Description,Version,HomepageURL
__MSG_8969005060131950570__,__MSG_5636646071825253269__,2.0.13,
net.ietab.ietabhelper.peruser,IE Tab Helper,,
IE Tab,__MSG_extDescription__,16.5.5.1,
Tamper Chrome (extension),Allows the user to modify requests as they happen.,1.3.3.1,
Cookie-Editor,"Simple yet powerful Cookie Editor that allow you to quickly create, edit and delete cookies without leaving your tab.",1.11.0,
Email Extractor,Powerful Extension To Extract E-Mail ID's Automatically From Web Pages. NEW FEATURES: AutoVisit websites and AutoSave Email IDs.,5.0.3,
__MSG_AppName__,__MSG_AppDesc__,2.6.0,
SoundFixer,"Fixes annoying sound problems in YouTube videos and such - e.g. audio in one channel only, or audio too quiet/loud",1.1.0,
Blackbox Code Chat Autocomplete Extraction,Write Better Code 100x faster. BLACKBOX AI is an AI coding assistant that helps developers by providing real-time code suggestions,2.8.7,https://www.useblackbox.io/
Blackbox Code Chat Autocomplete Extraction,Write Better Code 100x faster. BLACKBOX AI is an AI coding assistant that helps developers by providing real-time code suggestions,2.8.8,https://www.useblackbox.io/
__MSG_extensionName__,__MSG_extensionDescription__,2.0.1,https://github.com/dessant/buster
Octopus - All-in-One LinkedIn Automation,"Automation Software for LinkedIn lead generation, social selling and LinkedIn auto connect tool",3.6.87,
SingleFile,__MSG_extensionDescription__,1.21.43,https://github.com/gildas-lormeau/SingleFile
Hoxx VPN Proxy,Hoxx VPN Proxy service to unblock blocked websites and encrypt your connection.,3.11.24,
Video Speed Controller,"Speed up, slow down, advance and rewind HTML5 audio/video with shortcuts",0.7.3,https://github.com/igrigorik/videospeed
__MSG_APP_NAME__,__MSG_APP_DESCRIPTION__,1.0.0.6,
__MSG_title__,__MSG_about__,2.8.1,https://www.tnksoft.com/
RocketReach Chrome Extension,The RocketReach Extension helps you prospect on popular social media sites and discover company connections from any website.,2.0.39,
Enhancer for YouTube™,__MSG_description__,2.0.119.1,
Enhancer for YouTube™,__MSG_description__,2.0.119,
OCR - Image Reader,A powerful optical character recognition (OCR) extension to capture and convert images to text,0.3.6,https://webextension.org/listing/ocr.html
__MSG_name__,__MSG_description__,4.1.0,
__MSG_name_releasebuild__,__MSG_description__,3.17.1,
__MSG_res_PRODUCT_NAME_TRADEMARKED__,__MSG_res_PRODUCT_NAME_TRADEMARKED__,8.1.0.3734,
__MSG_extName__,__MSG_extDesc__,1.62.0,
__MSG_name__,__MSG_description__,5.8.0,
__MSG_appNameChrome__,__MSG_appDescChrome__,1.211.978,https://hola.org
__MSG_appNameChrome__,__MSG_appDescChrome__,1.212.611,https://hola.org
